[2025-05-19T15:17:02.786+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 21
[2025-05-19T15:17:03.297+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:03.297+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 22
[2025-05-19T15:17:03.741+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:03.741+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 23
[2025-05-19T15:17:04.185+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:04.185+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 24
[2025-05-19T15:17:04.622+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:04.622+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 25
[2025-05-19T15:17:05.187+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:05.187+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 26
[2025-05-19T15:17:05.652+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:05.652+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 27
[2025-05-19T15:17:06.164+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:06.165+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 28
[2025-05-19T15:17:06.638+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:06.638+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 29
[2025-05-19T15:17:07.104+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:07.105+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 30
[2025-05-19T15:17:07.598+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:07.598+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 31
[2025-05-19T15:17:08.048+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:08.049+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 32
[2025-05-19T15:17:08.507+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:08.507+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 33
[2025-05-19T15:17:08.950+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
