[2025-05-19T17:05:28.755+0000] {taskinstance.py:1087} INFO - Dependencies all met for <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T16:30:42.437473+00:00 [queued]>
[2025-05-19T17:05:28.771+0000] {taskinstance.py:1087} INFO - Dependencies all met for <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T16:30:42.437473+00:00 [queued]>
[2025-05-19T17:05:28.772+0000] {taskinstance.py:1283} INFO - 
--------------------------------------------------------------------------------
[2025-05-19T17:05:28.772+0000] {taskinstance.py:1284} INFO - Starting attempt 2 of 4
[2025-05-19T17:05:28.772+0000] {taskinstance.py:1285} INFO - 
--------------------------------------------------------------------------------
[2025-05-19T17:05:28.783+0000] {taskinstance.py:1304} INFO - Executing <Task(PythonOperator): save_to_bigquery> on 2025-05-19 16:30:42.437473+00:00
[2025-05-19T17:05:28.789+0000] {standard_task_runner.py:55} INFO - Started process 600 to run task
[2025-05-19T17:05:28.793+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'math_crawler_pipeline', 'save_to_bigquery', 'manual__2025-05-19T16:30:42.437473+00:00', '--job-id', '147', '--raw', '--subdir', 'DAGS_FOLDER/MathDag.py', '--cfg-path', '/tmp/tmpoasuhy40']
[2025-05-19T17:05:28.795+0000] {standard_task_runner.py:83} INFO - Job 147: Subtask save_to_bigquery
[2025-05-19T17:05:28.858+0000] {task_command.py:389} INFO - Running <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T16:30:42.437473+00:00 [running]> on host 11cd72090704
[2025-05-19T17:05:28.918+0000] {taskinstance.py:1511} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=math_crawler_pipeline
AIRFLOW_CTX_TASK_ID=save_to_bigquery
AIRFLOW_CTX_EXECUTION_DATE=2025-05-19T16:30:42.437473+00:00
AIRFLOW_CTX_TRY_NUMBER=2
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-05-19T16:30:42.437473+00:00
[2025-05-19T17:05:35.091+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:35.091+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 1
[2025-05-19T17:05:35.678+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:35.678+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 2
[2025-05-19T17:05:36.195+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:36.196+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 3
[2025-05-19T17:05:36.715+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:36.716+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 4
[2025-05-19T17:05:37.213+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:37.214+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 5
[2025-05-19T17:05:37.715+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:37.715+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 6
[2025-05-19T17:05:38.264+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:38.265+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 7
[2025-05-19T17:05:38.776+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:38.776+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 8
[2025-05-19T17:05:39.284+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:39.284+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 9
[2025-05-19T17:05:39.802+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:39.803+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 10
[2025-05-19T17:05:40.292+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:40.293+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 11
[2025-05-19T17:05:40.775+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:40.776+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 12
[2025-05-19T17:05:41.282+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:41.282+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 13
[2025-05-19T17:05:41.955+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:41.956+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 14
[2025-05-19T17:05:42.552+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:42.552+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 15
[2025-05-19T17:05:43.069+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:43.069+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 16
[2025-05-19T17:05:43.552+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:43.553+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 17
[2025-05-19T17:05:44.047+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:44.048+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 18
[2025-05-19T17:05:44.530+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:44.530+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 19
[2025-05-19T17:05:45.006+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T17:05:45.006+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 20
[2025-05-19T17:05:45.535+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
