[2025-05-19T16:46:53.623+0000] {taskinstance.py:1087} INFO - Dependencies all met for <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T16:30:42.437473+00:00 [queued]>
[2025-05-19T16:46:53.637+0000] {taskinstance.py:1087} INFO - Dependencies all met for <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T16:30:42.437473+00:00 [queued]>
[2025-05-19T16:46:53.637+0000] {taskinstance.py:1283} INFO - 
--------------------------------------------------------------------------------
[2025-05-19T16:46:53.638+0000] {taskinstance.py:1284} INFO - Starting attempt 1 of 3
[2025-05-19T16:46:53.639+0000] {taskinstance.py:1285} INFO - 
--------------------------------------------------------------------------------
[2025-05-19T16:46:53.654+0000] {taskinstance.py:1304} INFO - Executing <Task(PythonOperator): save_to_bigquery> on 2025-05-19 16:30:42.437473+00:00
[2025-05-19T16:46:53.659+0000] {standard_task_runner.py:55} INFO - Started process 191 to run task
[2025-05-19T16:46:53.664+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'math_crawler_pipeline', 'save_to_bigquery', 'manual__2025-05-19T16:30:42.437473+00:00', '--job-id', '143', '--raw', '--subdir', 'DAGS_FOLDER/MathDag.py', '--cfg-path', '/tmp/tmpvn75bn5_']
[2025-05-19T16:46:53.668+0000] {standard_task_runner.py:83} INFO - Job 143: Subtask save_to_bigquery
[2025-05-19T16:46:53.735+0000] {task_command.py:389} INFO - Running <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T16:30:42.437473+00:00 [running]> on host 11cd72090704
[2025-05-19T16:46:53.801+0000] {taskinstance.py:1511} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=math_crawler_pipeline
AIRFLOW_CTX_TASK_ID=save_to_bigquery
AIRFLOW_CTX_EXECUTION_DATE=2025-05-19T16:30:42.437473+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-05-19T16:30:42.437473+00:00
[2025-05-19T16:46:54.848+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T16:46:54.852+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 1
[2025-05-19T16:46:55.399+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T16:46:55.399+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 2
[2025-05-19T16:46:55.971+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T16:46:55.971+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 3
[2025-05-19T16:46:56.586+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T16:46:56.586+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 4
[2025-05-19T16:46:57.059+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T16:46:57.059+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 5
[2025-05-19T16:46:57.610+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T16:46:57.610+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 6
[2025-05-19T16:46:58.122+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T16:46:58.122+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 7
[2025-05-19T16:46:58.634+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T16:46:58.634+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 8
[2025-05-19T16:46:59.146+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T16:46:59.146+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 9
[2025-05-19T16:46:59.658+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T16:46:59.658+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 10
[2025-05-19T16:47:00.278+0000] {MathCrawler.py:346} INFO - Thêm dòng thành công vào BigQuery.
