[2025-05-19T17:19:33.514+0000] {taskinstance.py:1087} INFO - Dependencies all met for <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T17:07:55.539387+00:00 [queued]>
[2025-05-19T17:19:33.525+0000] {taskinstance.py:1087} INFO - Dependencies all met for <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T17:07:55.539387+00:00 [queued]>
[2025-05-19T17:19:33.525+0000] {taskinstance.py:1283} INFO - 
--------------------------------------------------------------------------------
[2025-05-19T17:19:33.526+0000] {taskinstance.py:1284} INFO - Starting attempt 1 of 3
[2025-05-19T17:19:33.526+0000] {taskinstance.py:1285} INFO - 
--------------------------------------------------------------------------------
[2025-05-19T17:19:33.542+0000] {taskinstance.py:1304} INFO - Executing <Task(PythonOperator): save_to_bigquery> on 2025-05-19 17:07:55.539387+00:00
[2025-05-19T17:19:33.548+0000] {standard_task_runner.py:55} INFO - Started process 928 to run task
[2025-05-19T17:19:33.552+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'math_crawler_pipeline', 'save_to_bigquery', 'manual__2025-05-19T17:07:55.539387+00:00', '--job-id', '150', '--raw', '--subdir', 'DAGS_FOLDER/MathDag.py', '--cfg-path', '/tmp/tmp2e2rjhxa']
[2025-05-19T17:19:33.554+0000] {standard_task_runner.py:83} INFO - Job 150: Subtask save_to_bigquery
[2025-05-19T17:19:33.614+0000] {task_command.py:389} INFO - Running <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T17:07:55.539387+00:00 [running]> on host 11cd72090704
[2025-05-19T17:19:33.696+0000] {taskinstance.py:1511} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=math_crawler_pipeline
AIRFLOW_CTX_TASK_ID=save_to_bigquery
AIRFLOW_CTX_EXECUTION_DATE=2025-05-19T17:07:55.539387+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-05-19T17:07:55.539387+00:00
